PUBLIC_ID,VERSION,CHANGE_NOTE,AC_IDSEQ
330,3.31,1/14/20 tmt updated Registration Status to Retired. DRAFT MOD: in use on one or more approved CRFs; previously RETIRED: see CTC_AE_GD ID# 20050900000330.,AECD5F45-40DE-6F74-E034-0003BA12F5E7
1285,2.31,1/14/20 tmt updated Registration Status to Retired. _See CDE #1285.,99BA9DC8-2782-4E69-E034-080020C9C0E0
2227,3,"1/14/20 tmt updated Registration Status to Retired. _ISO 11179 compliance. :Workflow status set to ""Retired Deleted"" in 3.0 deployment, was previously Deleted using the Admin Tool ""Delete"" function key. This function is no longer available.",B96A571D-FCFF-23B9-E034-0003BA12F5E7
58241,4,1/15/20 tmt updated Registration Status to Retired._Associated value domain is not preferred domain for storing dates.,C2F74AAA-C66F-2D5B-E034-0003BA12F5E7
62997,4,1/15/20 tmt updated Registration Status to Retired._ISO 11179 compliance; retired due to duplicate information in caDSR; see current version for #62997,BAD1CCE2-EEA3-09A9-E034-0003BA12F5E7
2001039,3,1/15/20 tmt updated Registration Status to Retired._See CDE #2002120.,9B8825ED-D747-0817-E034-080020C9C0E0
2002461,2,1/15/20 tmt updated Registration Status to Retired._Changed to Released per COG request - BC,B2044F73-E974-68B8-E034-0003BA12F5E7
2007351,1,1/15/20 tmt updated Registration Status to Retired.,BFF123A5-B1F2-1C5B-E034-0003BA12F5E7
2007351,3,1/15/20 tmt updated Registration Status to Retired.,DB67CC4F-54E4-474F-E034-0003BA12F5E7
2007351,2,1/15/20 tmt updated Registration Status to Retired.,BFF123A5-B223-1C5B-E034-0003BA12F5E7
2007858,99,1/15/20 tmt updated Registration Status to Retired.,E063C484-B72A-4D2C-E034-0003BA12F5E7
2015320,3,1/15/20 tmt updated Registration Status to Retired._ISO 11179 compliance,B30B7C1F-2DCF-1182-E034-0003BA12F5E7
2016002,4,NULL,DDEAEB6E-32A1-3CD4-E034-0003BA12F5E7
2018209,2,1/15/20 tmt updated Registration Status to Retired.; EQFLQLWI381023RU'AKVJ'p,DBF67698-F1E1-675B-E034-0003BA12F5E7
2183997,2,"1/15/20 tmt updated Registration Status to Retired.; Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Praesent et risus at neque molestie dapibus. Fusce justo felis, pretium ac, tristique nec, convallis in, libero. Sed viverra lectus. Sed placerat urna id eros. Vivamus congue lorem et wisi. Suspendisse potenti. Nulla commodo. Nam pede nunc, venenatis et, hendrerit eu, pellentesque non, justo. Nullam sagittis blandit libero. 05/16/2014 - tc - retired as orphan conten",DB67CC4F-5242-474F-E034-0003BA12F5E7
2184629,2,"1/15/20 tmt updated Registration Status to Retired.; 313233!!34""""""""""""""""35##36$$37%%38&&39''40((41))42**43++44"","""",""45--46..47//480049115022513352445355546655775688579958::59;;60<<61==62>>63??64@@65AA66BB67CC68DD69EE70FF71GG72HH73II74JJ75KK76LL77MM78NN79OO80PP81QQ82RR83SS84TT85UU86VV87WW88XX89YY90ZZ91",DBF67698-EE6F-675B-E034-0003BA12F5E7
